因素,组,因素或联合条件,206训练,201合成验证,真实开发,覆盖与可靠性,差异类型,可调整环节,解释边界
B05,几何,可见实例数与尺寸,可见水平长边(全部): P5/P25/P50/P75/P95=0.305282/0.68258/1.21723/1.8248/2.46596；有效3470/3537，3470帧，128世界或序列；可见水平短边(全部): P5/P25/P50/P75/P95=0.194026/0.457349/0.825444/1.20063/1.72787；有效3470/3537，3470帧，128世界或序列；可见竖向跨度(全部): P5/P25/P50/P75/P95=0.222904/0.560523/1.06058/1.72221/2.48974；有效3470/3537，3470帧，128世界或序列,可见水平长边(全部): P5/P25/P50/P75/P95=0.172161/0.623117/1.22535/1.74279/2.25966；有效2531/2690，2531帧，92世界或序列；可见水平短边(全部): P5/P25/P50/P75/P95=0.120435/0.382062/0.722725/1.23376/1.80585；有效2531/2690，2531帧，92世界或序列；可见竖向跨度(全部): P5/P25/P50/P75/P95=0.21788/0.540746/0.952811/1.63764/2.40175；有效2531/2690，2531帧，92世界或序列,可见水平长边(全部): P5/P25/P50/P75/P95=0.200817/0.384369/0.528245/0.795876/0.947136；有效1611/4729，1373帧，19世界或序列；可见水平短边(全部): P5/P25/P50/P75/P95=0.112789/0.219485/0.33268/0.570341/0.846543；有效1611/4729，1373帧，19世界或序列；可见竖向跨度(全部): P5/P25/P50/P75/P95=0.0759664/0.16197/0.224853/0.360583/0.614381；有效1611/4729，1373帧，19世界或序列,"206训练:实例帧3537，形状{'fewer_than_10_distinct_returns': 67, 'reliable_visible_extent': 3470}，地面{'fewer_than_20_ground_returns': 92, 'local_plane_proxy': 3102, 'plane_fit_or_spatial_support_unreliable': 343}，未知身份点0；201合成验证:实例帧2690，形状{'fewer_than_10_distinct_returns': 159, 'reliable_visible_extent': 2531}，地面{'fewer_than_20_ground_returns': 278, 'insufficient_plane_inliers': 1, 'local_plane_proxy': 2115, 'no_ground_support': 13, 'plane_fit_or_spatial_support_unreliable': 283}，未知身份点0；真实开发:实例帧4729，形状{'fewer_than_10_distinct_returns': 3118, 'reliable_visible_extent': 1611}，地面{'fewer_than_20_ground_returns': 1469, 'insufficient_plane_inliers': 26, 'local_plane_proxy': 2202, 'plane_fit_or_spatial_support_unreliable': 1032}，未知身份点1",观测分布或可靠性差异；不作因果归因,几何、放置或观测过程；先核对可靠性,无有效实例ID标不可判定，不自动聚成一个物体
B06,几何,局部形态与采样疏密,同实例最近邻距(全部): P5/P25/P50/P75/P95=0.00213996/0.0108711/0.0318737/0.0451586/0.0715946；有效3124515/3124521，3531帧，128世界或序列,同实例最近邻距(全部): P5/P25/P50/P75/P95=0.00337813/0.0214182/0.032919/0.0478743/0.0803636；有效1603620/1603621，2689帧，92世界或序列,同实例最近邻距(全部): P5/P25/P50/P75/P95=0.0247243/0.0331276/0.0435247/0.072195/0.176823；有效89684/90739，2903帧，19世界或序列,"206训练:实例帧3537，形状{'fewer_than_10_distinct_returns': 67, 'reliable_visible_extent': 3470}，地面{'fewer_than_20_ground_returns': 92, 'local_plane_proxy': 3102, 'plane_fit_or_spatial_support_unreliable': 343}，未知身份点0；201合成验证:实例帧2690，形状{'fewer_than_10_distinct_returns': 159, 'reliable_visible_extent': 2531}，地面{'fewer_than_20_ground_returns': 278, 'insufficient_plane_inliers': 1, 'local_plane_proxy': 2115, 'no_ground_support': 13, 'plane_fit_or_spatial_support_unreliable': 283}，未知身份点0；真实开发:实例帧4729，形状{'fewer_than_10_distinct_returns': 3118, 'reliable_visible_extent': 1611}，地面{'fewer_than_20_ground_returns': 1469, 'insufficient_plane_inliers': 26, 'local_plane_proxy': 2202, 'plane_fit_or_spatial_support_unreliable': 1032}，未知身份点1",观测分布或可靠性差异；不作因果归因,几何、放置或观测过程；先核对可靠性,稀疏估计须记录样本数，不将缺测填零
B07,几何,扫描角度覆盖与缺口,可见方位角跨度(全部): P5/P25/P50/P75/P95=0.0306545/0.0737503/0.147595/0.221902/0.386903；有效3470/3537，3470帧，128世界或序列,可见方位角跨度(全部): P5/P25/P50/P75/P95=0.0191299/0.0496059/0.10513/0.18489/0.406018；有效2531/2690，2531帧，92世界或序列,可见方位角跨度(全部): P5/P25/P50/P75/P95=0.0238927/0.0309516/0.0433896/0.0680264/0.16584；有效1611/4729，1373帧，19世界或序列,"206训练:实例帧3537，形状{'fewer_than_10_distinct_returns': 67, 'reliable_visible_extent': 3470}，地面{'fewer_than_20_ground_returns': 92, 'local_plane_proxy': 3102, 'plane_fit_or_spatial_support_unreliable': 343}，未知身份点0；201合成验证:实例帧2690，形状{'fewer_than_10_distinct_returns': 159, 'reliable_visible_extent': 2531}，地面{'fewer_than_20_ground_returns': 278, 'insufficient_plane_inliers': 1, 'local_plane_proxy': 2115, 'no_ground_support': 13, 'plane_fit_or_spatial_support_unreliable': 283}，未知身份点0；真实开发:实例帧4729，形状{'fewer_than_10_distinct_returns': 3118, 'reliable_visible_extent': 1611}，地面{'fewer_than_20_ground_returns': 1469, 'insufficient_plane_inliers': 26, 'local_plane_proxy': 2202, 'plane_fit_or_spatial_support_unreliable': 1032}，未知身份点1",观测分布或可靠性差异；不作因果归因,几何、放置或观测过程；先核对可靠性,未经光束校准仅报角度，不伪造beam/ring ID
C01,强度,逐点强度,原始逐点强度(正常): P5/P25/P50/P75/P95=0.03/0.0974286/0.191714/0.347143/0.640286；有效435070806/435070806，3592帧，128世界或序列；原始逐点强度(异常): P5/P25/P50/P75/P95=0.063162/0.143369/0.218652/0.372082/0.657585；有效3124521/3124521，3537帧，128世界或序列,原始逐点强度(正常): P5/P25/P50/P75/P95=0.0277143/0.0745714/0.153429/0.312857/0.609429；有效198126629/198126629，2728帧，92世界或序列；原始逐点强度(异常): P5/P25/P50/P75/P95=0.0273487/0.118509/0.202088/0.336762/0.606839；有效1603621/1603621，2690帧，92世界或序列,原始逐点强度(正常): P5/P25/P50/P75/P95=0.0282857/0.115714/0.238/0.438286/0.773143；有效744037182/744037182，8659帧，19世界或序列；原始逐点强度(异常): P5/P25/P50/P75/P95=0.01/0.0651429/0.171714/0.326857/0.608286；有效90739/90739，3545帧，19世界或序列,全帧3592/2728/8659；完整窗3080/2360/8583；合成等权单位为世界，真实为序列，非独立道路配对,观测分布或可靠性差异；不作因果归因,强度生成；当前不优先,子集不能推广为全部19条分布
C02,强度,离散网格、零值与边界,正常零强度0.000000%；k/3500精确匹配100.000000%；重复取值点100.000000%；异常零强度0.000000%；k/3500精确匹配0.959283%；重复取值点11.288162%；忽略零强度0.000000%；k/3500精确匹配100.000000%；重复取值点100.000000%,正常零强度0.000000%；k/3500精确匹配100.000000%；重复取值点100.000000%；异常零强度0.000000%；k/3500精确匹配3.198324%；重复取值点9.015971%；忽略零强度0.000000%；k/3500精确匹配100.000000%；重复取值点100.000000%,正常零强度0.000000%；k/3500精确匹配100.000000%；重复取值点99.999981%；异常零强度0.000000%；k/3500精确匹配100.000000%；重复取值点99.563583%；忽略零强度0.000000%；k/3500精确匹配100.000000%；重复取值点99.999976%,全帧3592/2728/8659；完整窗3080/2360/8583；合成等权单位为世界，真实为序列，非独立道路配对,观测分布或可靠性差异；不作因果归因,强度生成；当前不优先,不是官方硬件量化规格；不对输入吸附
C03,强度,强度×逐点距离,63个原有逐点距离×类别条件；全量连续统计保留各组原始、帧、世界或序列权重,63个原有逐点距离×类别条件；全量连续统计保留各组原始、帧、世界或序列权重,63个原有逐点距离×类别条件；全量连续统计保留各组原始、帧、世界或序列权重,全帧3592/2728/8659；完整窗3080/2360/8583；合成等权单位为世界，真实为序列，非独立道路配对,观测分布或可靠性差异；不作因果归因,强度生成；当前不优先,均值离开离散网格不算格式错误
C04,强度,异常/邻近背景强度对比,异常强度减邻域正常均值(全部): P5/P25/P50/P75/P95=-0.166095/-0.0199635/0.0647211/0.17122/0.420086；有效409167/3124521，3291帧，128世界或序列；邻域正常强度方差(全部): P5/P25/P50/P75/P95=4.69999e-05/0.000265/0.00110623/0.00301372/0.0106579；有效409167/3124521，3291帧，128世界或序列,异常强度减邻域正常均值(全部): P5/P25/P50/P75/P95=-0.170393/-0.0301798/0.0442064/0.135884/0.349136；有效233620/1603621，2311帧，92世界或序列；邻域正常强度方差(全部): P5/P25/P50/P75/P95=3.35156e-05/0.000169046/0.000750431/0.00225042/0.00728709；有效233620/1603621，2311帧，92世界或序列,异常强度减邻域正常均值(全部): P5/P25/P50/P75/P95=-0.05924/0.00599605/0.102421/0.244024/0.49596；有效68155/90739，2029帧，19世界或序列；邻域正常强度方差(全部): P5/P25/P50/P75/P95=5.64657e-05/0.000343926/0.00131338/0.00424954/0.0188928；有效68155/90739，2029帧，19世界或序列,全帧3592/2728/8659；完整窗3080/2360/8583；合成等权单位为世界，真实为序列，非独立道路配对,观测分布或可靠性差异；不作因果归因,强度生成；当前不优先,邻域及距离条件固定后计算
D01,背景,正常语义构成,建筑=181894441/435070806；植被=95118208/435070806；道路=71591819/435070806；围栏=28430037/435070806；树干=14785835/435070806,植被=64371580/198126629；人行道=42095795/198126629；道路=35273637/198126629；建筑=28287830/198126629；地形=8422315/198126629,道路=680620528/744037182；建筑=38170213/744037182；植被=14425421/744037182；围栏=4022793/744037182；汽车=3925091/744037182,全帧3592/2728/8659；完整窗3080/2360/8583；合成等权单位为世界，真实为序列，非独立道路配对,观测分布或可靠性差异；不作因果归因,几何、放置或观测过程；先核对可靠性,标签用于统计，不进入推理特征
D02,背景,异常与地面/周边结构关系,最近正常点距离(全部): P5/P25/P50/P75/P95=0.288073/0.741188/1.27549/2.27464/2.92306；有效3124521/3124521，3537帧，128世界或序列；可见点离地高度中位数(全部): P5/P25/P50/P75/P95=0.156549/0.37635/0.624108/0.960861/1.33315；有效3102/3537，3102帧，128世界或序列,最近正常点距离(全部): P5/P25/P50/P75/P95=0.284762/0.693024/1.19513/1.96432/3.25474；有效1603621/1603621，2690帧，92世界或序列；可见点离地高度中位数(全部): P5/P25/P50/P75/P95=0.101822/0.305555/0.495545/0.96093/1.20168；有效2115/2690，2115帧，91世界或序列,最近正常点距离(全部): P5/P25/P50/P75/P95=0.0556328/0.137678/0.239886/0.44187/0.970505；有效90739/90739，3545帧，19世界或序列；可见点离地高度中位数(全部): P5/P25/P50/P75/P95=0.0609403/0.0982541/0.155762/0.203219/0.33067；有效2202/4729，1515帧，16世界或序列,"206训练:实例帧3537，形状{'fewer_than_10_distinct_returns': 67, 'reliable_visible_extent': 3470}，地面{'fewer_than_20_ground_returns': 92, 'local_plane_proxy': 3102, 'plane_fit_or_spatial_support_unreliable': 343}，未知身份点0；201合成验证:实例帧2690，形状{'fewer_than_10_distinct_returns': 159, 'reliable_visible_extent': 2531}，地面{'fewer_than_20_ground_returns': 278, 'insufficient_plane_inliers': 1, 'local_plane_proxy': 2115, 'no_ground_support': 13, 'plane_fit_or_spatial_support_unreliable': 283}，未知身份点0；真实开发:实例帧4729，形状{'fewer_than_10_distinct_returns': 3118, 'reliable_visible_extent': 1611}，地面{'fewer_than_20_ground_returns': 1469, 'insufficient_plane_inliers': 26, 'local_plane_proxy': 2202, 'plane_fit_or_spatial_support_unreliable': 1032}，未知身份点1",观测分布或可靠性差异；不作因果归因,几何、放置或观测过程；先核对可靠性,无可靠地面时不可将z冒充离地高度
E01,时序,五帧异常支持量,历史可见扫描数(全部): P5/P25/P50/P75/P95=4/4/4/4/4；有效3080/3080，3080帧，128世界或序列；历史异常点占五帧异常点比例(全部): P5/P25/P50/P75/P95=0.745049/0.774075/0.785594/0.800403/0.833333；有效3060/3080，3060帧，128世界或序列,历史可见扫描数(全部): P5/P25/P50/P75/P95=4/4/4/4/4；有效2360/2360，2360帧，92世界或序列；历史异常点占五帧异常点比例(全部): P5/P25/P50/P75/P95=0.743447/0.768824/0.782979/0.809524/0.838446；有效2350/2360，2350帧，92世界或序列,历史可见扫描数(全部): P5/P25/P50/P75/P95=0/0/0/4/4；有效8583/8583，8583帧，19世界或序列；历史异常点占五帧异常点比例(全部): P5/P25/P50/P75/P95=0.5/0.754237/0.8/0.857143/1；有效4228/8583，4228帧，19世界或序列,全帧3592/2728/8659；完整窗3080/2360/8583；合成等权单位为世界，真实为序列，非独立道路配对,观测分布或可靠性差异；不作因果归因,采样或观测过程；片段边界截断单列,全距离/源帧各自评价距离两个口径分开
E02,时序,五位可见模式,覆盖17/32；00000=20，11111=3011，部分=49，00001=6；分母3080,覆盖12/32；00000=10，11111=2312，部分=38，00001=6；分母2360,覆盖32/32；00000=4355，11111=2856，部分=1372，00001=97；分母8583,全帧3592/2728/8659；完整窗3080/2360/8583；合成等权单位为世界，真实为序列，非独立道路配对,观测分布或可靠性差异；不作因果归因,采样或观测过程；片段边界截断单列,不是体素命中；类别可见不代表同一物体
E03,时序,接近/可见/消失阶段,阶段长度(连续可见段): P5/P25/P50/P75/P95=14/28/28/28/29；有效133/133，128帧，128世界或序列；阶段长度(可见间断段): P5/P25/P50/P75/P95=1/3/3/4/6；有效5/5，4帧，4世界或序列,阶段长度(连续可见段): P5/P25/P50/P75/P95=12/28/28/28/28；有效96/96，92帧，92世界或序列；阶段长度(可见间断段): P5/P25/P50/P75/P95=1/1/3/6/6；有效4/4，4帧，4世界或序列,阶段长度(连续可见段): P5/P25/P50/P75/P95=1/1/2/4/86；有效304/304，19帧，19世界或序列；阶段长度(可见间断段): P5/P25/P50/P75/P95=1/1/2/4/18；有效285/285，19帧，19世界或序列,全帧3592/2728/8659；完整窗3080/2360/8583；合成等权单位为世界，真实为序列，非独立道路配对,观测分布或可靠性差异；不作因果归因,采样或观测过程；片段边界截断单列,不能在异常事件处重新启动窗口；优先帧单位
E04,时序,自车运动与视角基线,最早到当前扫描平移量(全部): P5/P25/P50/P75/P95=0.0425625/0.584336/0.915215/1.24197/1.43254；有效3080/3080，3080帧，128世界或序列；最早到当前扫描旋转角(全部): P5/P25/P50/P75/P95=0.00168987/0.0110306/0.0196907/0.035102/0.0722441；有效3080/3080，3080帧，128世界或序列,最早到当前扫描平移量(全部): P5/P25/P50/P75/P95=0.820274/1.08972/1.44895/1.82203/2.0853；有效2360/2360，2360帧，92世界或序列；最早到当前扫描旋转角(全部): P5/P25/P50/P75/P95=0.0026902/0.00713516/0.0152424/0.041207/0.0902114；有效2360/2360，2360帧，92世界或序列,最早到当前扫描平移量(全部): P5/P25/P50/P75/P95=0.557255/1.51403/1.97951/2.51778/4.28931；有效8583/8583，8583帧，19世界或序列；最早到当前扫描旋转角(全部): P5/P25/P50/P75/P95=0.00295158/0.00709673/0.0123171/0.0245528/0.136813；有效8583/8583，8583帧，19世界或序列,全帧3592/2728/8659；完整窗3080/2360/8583；合成等权单位为世界，真实为序列，非独立道路配对,观测分布或可靠性差异；不作因果归因,采样或观测过程；片段边界截断单列,无可靠时间戳不报告实测速度
E05,时序,静态表面一致性,抽样静态点同语义匹配残差(全部): P5/P25/P50/P75/P95=0.00535/0.01125/0.01885/0.03305/0.08425；有效6221015/6305870，3080帧，128世界或序列,抽样静态点同语义匹配残差(全部): P5/P25/P50/P75/P95=0.00935/0.01855/0.03095/0.05745/0.12065；有效4267346/4416821，2360帧，92世界或序列,抽样静态点同语义匹配残差(全部): P5/P25/P50/P75/P95=0.00565/0.01185/0.02005/0.03685/0.10165；有效16733267/17266655，8547帧，19世界或序列,全帧3592/2728/8659；完整窗3080/2360/8583；合成等权单位为世界，真实为序列，非独立道路配对,观测分布或可靠性差异；不作因果归因,采样或观测过程；片段边界截断单列,不是位姿真值误差，动态/遮挡可混杂
F01,体素,异常压缩与独立几何量,当前异常点数除以占据体素数(全部): P5/P25/P50/P75/P95=1/1/1.07736/1.375/2.2681；有效3045/3080，3045帧，128世界或序列,当前异常点数除以占据体素数(全部): P5/P25/P50/P75/P95=1/1/1.04008/1.33333/2.37136；有效2341/2360，2341帧，92世界或序列,当前异常点数除以占据体素数(全部): P5/P25/P50/P75/P95=1/1/1/1/1.375；有效3541/8583，3541帧，19世界或序列,全帧3592/2728/8659；完整窗3080/2360/8583；合成等权单位为世界，真实为序列，非独立道路配对,观测分布或可靠性差异；不作因果归因,生成覆盖或表示；未进行模型干预,体素去重；当前无异常时比值不可定义
F02,体素,三态体素混合,纯异常=2546264/2549243=99.883142%; 与正常混合=2959/2549243=0.116074%; 与忽略混合=20/2549243=0.000785%; 同时与正常及忽略混合=0/2549243=0.000000%,纯异常=1560200/1562410=99.858552%; 与正常混合=2003/1562410=0.128199%; 与忽略混合=201/1562410=0.012865%; 同时与正常及忽略混合=6/1562410=0.000384%,纯异常=218599/226752=96.404442%; 与正常混合=7876/226752=3.473398%; 与忽略混合=273/226752=0.120396%; 同时与正常及忽略混合=4/226752=0.001764%,全帧3592/2728/8659；完整窗3080/2360/8583；合成等权单位为世界，真实为序列，非独立道路配对,观测分布或可靠性差异；不作因果归因,生成覆盖或表示；未进行模型干预,构建网格前不得按标签/距离裁点
F03,体素,历史新增正常混合,否=1455802/1456449=99.955577%; 是=647/1456449=0.044423%,否=847759/848247=99.942470%; 是=488/848247=0.057530%,否=73779/75412=97.834562%; 是=1633/75412=2.165438%,全帧3592/2728/8659；完整窗3080/2360/8583；合成等权单位为世界，真实为序列，非独立道路配对,观测分布或可靠性差异；不作因果归因,生成覆盖或表示；未进行模型干预,描述成员，不等于证明历史造成漏检
F04,体素,扫描命中与异常支持,当前异常体素观测1456449；扫描命中类别16；完整32格见分类表,当前异常体素观测848247；扫描命中类别16；完整32格见分类表,当前异常体素观测75412；扫描命中类别16；完整32格见分类表,全帧3592/2728/8659；完整窗3080/2360/8583；合成等权单位为世界，真实为序列，非独立道路配对,观测分布或可靠性差异；不作因果归因,生成覆盖或表示；未进行模型干预,未命中≠可确认空闲；异常支持非精确对应
F05,体素,均值偏移与点内残差,联合均值相对当前成员均值的位移(当前异常占据体素): P5/P25/P50/P75/P95=5e-05/0.00385/0.00845/0.01455/0.02405；有效1456449/1456449，3045帧，128世界或序列,联合均值相对当前成员均值的位移(当前异常占据体素): P5/P25/P50/P75/P95=5e-05/0.00385/0.00875/0.01485/0.02415；有效848247/848247，2341帧，92世界或序列,联合均值相对当前成员均值的位移(当前异常占据体素): P5/P25/P50/P75/P95=5e-05/5e-05/0.00675/0.01465/0.02415；有效75412/75412，3541帧，19世界或序列,全帧3592/2728/8659；完整窗3080/2360/8583；合成等权单位为世界，真实为序列，非独立道路配对,观测分布或可靠性差异；不作因果归因,生成覆盖或表示；未进行模型干预,同一物理格子比较，不重新选择网格原点
G01,联合条件,关键联合分布,点数×距离×历史覆盖37/110格；窗口3080,点数×距离×历史覆盖42/110格；窗口2360,点数×距离×历史覆盖47/110格；窗口8583,全帧3592/2728/8659；完整窗3080/2360/8583；合成等权单位为世界，真实为序列，非独立道路配对,频率不匹配与完全缺覆盖分开,采样或世界生成；先看真实非空且训练为零的格,先用少量可解释交叉，不拟合全高维直方图
G02,不可观测,完整物理形状/材质/准确遮挡率,完整物理尺寸、真实材质、精确遮挡率、位姿真值误差及可靠时间未作横向估计；合成真值参数不混入,完整物理尺寸、真实材质、精确遮挡率、位姿真值误差及可靠时间未作横向估计；合成真值参数不混入,完整物理尺寸、真实材质、精确遮挡率、位姿真值误差及可靠时间未作横向估计；合成真值参数不混入,全帧3592/2728/8659；完整窗3080/2360/8583；合成等权单位为世界，真实为序列，非独立道路配对,不可观测或不可直接横向比较,不得以不可观测属性指导确定参数,不要求为了填表虚构这些数值
