因素,组,名称,定义,单位,统计内容,完成状态,统计组合数,边界
B07,几何,扫描角度覆盖与缺口,异常回波方位/俯仰跨度及角度间隙,实例×帧/序列,分位数、缺口分布,已统计；支持不足留空,3,未经光束校准仅报角度，不伪造beam/ring ID
C01,强度,逐点强度,正常/异常/忽略分开；保留原值,原始点；每帧只统计一次,P5/P25/P50/P75/P95、直方图、极值,已统计；支持不足留空,3,子集不能推广为全部19条分布
C02,强度,离散网格、零值与边界,实测float32(k/3500)关系、重复值和边界堆积,原始点,精确网格率、零值率、极值与计数,已统计；支持不足留空,6,不是官方硬件量化规格；不对输入吸附
C03,强度,强度×逐点距离,按源帧自身距离分段比较强度,原始点×距离组,正常/异常条件分位数与覆盖,已统计；支持不足留空,63,均值离开离散网格不算格式错误
C04,强度,异常/邻近背景强度对比,同一预定邻域中异常与正常强度差及局部方差,异常点/实例×帧,条件分位数、无邻居比例,已统计；支持不足留空,3,邻域及距离条件固定后计算
D01,背景,正常语义构成,全部输入及异常邻域中的正常类别比例,点/帧/序列,全局与各序列频率；邻域另表,已统计；支持不足留空,3,标签用于统计，不进入推理特征
D02,背景,异常与地面/周边结构关系,相对可靠地面高度、最近正常点距离、背景密度,实例×帧,分位数、估计失败率,已统计；支持不足留空,4,无可靠地面时不可将z冒充离地高度
E01,时序,五帧异常支持量,"源帧异常计数向量[a0,a1,a2,a3,a4]；历史与当前分开",t≥4完整窗口,计数、历史占比、按可见状态分组,已统计；支持不足留空,3,全距离/源帧各自评价距离两个口径分开
E02,时序,五位可见模式,bi=1当第i帧有异常回波；包含00000,t≥4完整窗口,32种模式的计数与比例；每序列另报,已统计；支持不足留空,1,不是体素命中；类别可见不代表同一物体
E03,时序,接近/可见/消失阶段,无回波前缀、可见段、中断段、尾段,连续帧/完整序列,段数与长度；首末可见；边界截断标志,已统计；支持不足留空,7,不能在异常事件处重新启动窗口；优先帧单位
E04,时序,自车运动与视角基线,从已有位姿计算五帧相对平移/旋转,t≥4完整窗口,分位数、位移×点数/距离,已统计；支持不足留空,2,无可靠时间戳不报告实测速度
E05,时序,静态表面一致性,固定匹配规则下背景表面重合残差,窗口/可靠静态邻域,残差分位数、匹配覆盖,已统计；固定抽样代理,2,不是位姿真值误差，动态/遮挡可混杂
F01,体素,异常压缩与独立几何量,0.05m网格异常占据数；当前与五帧分别统计,体素/窗口,点体素比、联合/当前异常体素数,已统计；支持不足留空,5,体素去重；当前无异常时比值不可定义
F02,体素,三态体素混合,各体素统计正常/异常/忽略成员数及比例,体素；当前异常点另加权,纯异常、正常混合、忽略混合、双混合,已统计；支持不足留空,6,构建网格前不得按标签/距离裁点
F03,体素,历史新增正常混合,当前体素无正常成员但历史带入正常成员,当前异常点及其体素,计数、比例、扫描来源,已统计；支持不足留空,6,描述成员，不等于证明历史造成漏检
F04,体素,扫描命中与异常支持,体素五位命中模式；历史异常来自几帧,非空体素；当前异常体素,32种模式；命中次数1–5,已统计；支持不足留空,3,未命中≠可确认空闲；异常支持非精确对应
F05,体素,均值偏移与点内残差,联合均值相对当前成员均值；点相对联合均值偏移,体素/当前点,位移与残差分位数,已统计；支持不足留空,7,同一物理格子比较，不重新选择网格原点
G01,联合条件,关键联合分布,点数×距离×历史支持；混合×背景；强度×距离,窗口/点/实例分别定义,联合频数、支持数、缺覆盖格子,已统计；支持不足留空,0,先用少量可解释交叉，不拟合全高维直方图
G02,不可观测,完整物理形状/材质/准确遮挡率,发布数据无真值时明确标记,物体/场景,只记录可用真值或带不确定性的代理量,不可作真实横向比较,0,生成器完整物理参数未混入可见观测分布
