因素,组,因素或联合条件,206训练,201合成验证,真实开发,覆盖与可靠性,差异类型,可调整环节,解释边界
D02,背景,异常与地面/周边结构关系,最近正常点距离(全部): P5/P25/P50/P75/P95=0.136662/0.324104/0.535324/0.763685/1.04292；有效70829/70829，867帧，4世界或序列；可见点离地高度中位数(全部): P5/P25/P50/P75/P95=0.101779/0.132258/0.269852/0.497879/0.53524；有效568/867，568帧，4世界或序列,最近正常点距离(全部): P5/P25/P50/P75/P95=0.233962/0.401852/0.576717/1.05319/4.46535；有效4463/4463，487帧，2世界或序列；可见点离地高度中位数(全部): P5/P25/P50/P75/P95=0.2457/0.269365/0.2896/0.329504/0.368949；有效54/487，54帧，2世界或序列,最近正常点距离(全部): P5/P25/P50/P75/P95=0.0556328/0.137678/0.239886/0.44187/0.970505；有效90739/90739，3545帧，19世界或序列；可见点离地高度中位数(全部): P5/P25/P50/P75/P95=0.0609403/0.0982541/0.155762/0.203219/0.33067；有效2202/4729，1515帧，16世界或序列,"206训练:实例帧867，形状{'fewer_than_10_distinct_returns': 331, 'reliable_visible_extent': 536}，地面{'fewer_than_20_ground_returns': 265, 'local_plane_proxy': 568, 'plane_fit_or_spatial_support_unreliable': 34}，未知身份点0；201合成验证:实例帧487，形状{'fewer_than_10_distinct_returns': 317, 'reliable_visible_extent': 170}，地面{'fewer_than_20_ground_returns': 364, 'local_plane_proxy': 54, 'no_ground_support': 1, 'plane_fit_or_spatial_support_unreliable': 68}，未知身份点0；真实开发:实例帧4729，形状{'fewer_than_10_distinct_returns': 3118, 'reliable_visible_extent': 1611}，地面{'fewer_than_20_ground_returns': 1469, 'insufficient_plane_inliers': 26, 'local_plane_proxy': 2202, 'plane_fit_or_spatial_support_unreliable': 1032}，未知身份点1",观测分布或可靠性差异；不作因果归因,几何、放置或观测过程；先核对可靠性,无可靠地面时不可将z冒充离地高度
E01,时序,五帧异常支持量,历史可见扫描数(全部): P5/P25/P50/P75/P95=0/0/1/4/4；有效1780/1780，1780帧，4世界或序列；历史异常点占五帧异常点比例(全部): P5/P25/P50/P75/P95=0.571429/0.777778/0.795918/0.821429/1；有效958/1780，958帧，4世界或序列,历史可见扫描数(全部): P5/P25/P50/P75/P95=0/0/0/4/4；有效1356/1356，1356帧，2世界或序列；历史异常点占五帧异常点比例(全部): P5/P25/P50/P75/P95=0.272727/0.763158/0.810526/1/1；有效691/1356，691帧，2世界或序列,历史可见扫描数(全部): P5/P25/P50/P75/P95=0/0/0/4/4；有效8583/8583，8583帧，19世界或序列；历史异常点占五帧异常点比例(全部): P5/P25/P50/P75/P95=0.5/0.754237/0.8/0.857143/1；有效4228/8583，4228帧，19世界或序列,全帧1796/1364/8659；完整窗1780/1356/8583；合成等权单位为世界，真实为序列，非独立道路配对,观测分布或可靠性差异；不作因果归因,采样或观测过程；片段边界截断单列,全距离/源帧各自评价距离两个口径分开
E02,时序,五位可见模式,覆盖31/32；00000=822，11111=778，部分=180，00001=20；分母1780,覆盖32/32；00000=665，11111=333，部分=358，00001=33；分母1356,覆盖32/32；00000=4355，11111=2856，部分=1372，00001=97；分母8583,全帧1796/1364/8659；完整窗1780/1356/8583；合成等权单位为世界，真实为序列，非独立道路配对,观测分布或可靠性差异；不作因果归因,采样或观测过程；片段边界截断单列,不是体素命中；类别可见不代表同一物体
E03,时序,接近/可见/消失阶段,阶段长度(连续可见段): P5/P25/P50/P75/P95=1/1/2/12/140；有效36/36，4帧，4世界或序列；阶段长度(可见间断段): P5/P25/P50/P75/P95=1/1/4/27/82；有效32/32，4帧，4世界或序列,阶段长度(连续可见段): P5/P25/P50/P75/P95=1/1/1/3/32；有效78/78，2帧，2世界或序列；阶段长度(可见间断段): P5/P25/P50/P75/P95=1/1/3/8/51；有效76/76，2帧，2世界或序列,阶段长度(连续可见段): P5/P25/P50/P75/P95=1/1/2/4/86；有效304/304，19帧，19世界或序列；阶段长度(可见间断段): P5/P25/P50/P75/P95=1/1/2/4/18；有效285/285，19帧，19世界或序列,全帧1796/1364/8659；完整窗1780/1356/8583；合成等权单位为世界，真实为序列，非独立道路配对,观测分布或可靠性差异；不作因果归因,采样或观测过程；片段边界截断单列,不能在异常事件处重新启动窗口；优先帧单位
E04,时序,自车运动与视角基线,最早到当前扫描平移量(全部): P5/P25/P50/P75/P95=0.0351609/0.580847/0.919748/1.24214/1.42989；有效1780/1780，1780帧，4世界或序列；最早到当前扫描旋转角(全部): P5/P25/P50/P75/P95=0.00168125/0.010701/0.0188018/0.0345938/0.0722839；有效1780/1780，1780帧，4世界或序列,最早到当前扫描平移量(全部): P5/P25/P50/P75/P95=0.820195/1.09146/1.43642/1.82735/2.0853；有效1356/1356，1356帧，2世界或序列；最早到当前扫描旋转角(全部): P5/P25/P50/P75/P95=0.00247548/0.00693059/0.0143138/0.0414561/0.0902114；有效1356/1356，1356帧，2世界或序列,最早到当前扫描平移量(全部): P5/P25/P50/P75/P95=0.557255/1.51403/1.97951/2.51778/4.28931；有效8583/8583，8583帧，19世界或序列；最早到当前扫描旋转角(全部): P5/P25/P50/P75/P95=0.00295158/0.00709673/0.0123171/0.0245528/0.136813；有效8583/8583，8583帧，19世界或序列,全帧1796/1364/8659；完整窗1780/1356/8583；合成等权单位为世界，真实为序列，非独立道路配对,观测分布或可靠性差异；不作因果归因,采样或观测过程；片段边界截断单列,无可靠时间戳不报告实测速度
E05,时序,静态表面一致性,抽样静态点同语义匹配残差(全部): P5/P25/P50/P75/P95=0.00535/0.01125/0.01885/0.03305/0.08415；有效3598548/3645440，1780帧，4世界或序列,抽样静态点同语义匹配残差(全部): P5/P25/P50/P75/P95=0.00935/0.01855/0.03085/0.05735/0.12035；有效2484173/2570130，1356帧，2世界或序列,抽样静态点同语义匹配残差(全部): P5/P25/P50/P75/P95=0.00565/0.01185/0.02005/0.03685/0.10165；有效16733267/17266655，8547帧，19世界或序列,全帧1796/1364/8659；完整窗1780/1356/8583；合成等权单位为世界，真实为序列，非独立道路配对,观测分布或可靠性差异；不作因果归因,采样或观测过程；片段边界截断单列,不是位姿真值误差，动态/遮挡可混杂
F01,体素,异常压缩与独立几何量,当前异常点数除以占据体素数(全部): P5/P25/P50/P75/P95=1/1/1/1/1.65217；有效863/1780，863帧，4世界或序列,当前异常点数除以占据体素数(全部): P5/P25/P50/P75/P95=1/1/1/1/1；有效485/1356，485帧，2世界或序列,当前异常点数除以占据体素数(全部): P5/P25/P50/P75/P95=1/1/1/1/1.375；有效3541/8583，3541帧，19世界或序列,全帧1796/1364/8659；完整窗1780/1356/8583；合成等权单位为世界，真实为序列，非独立道路配对,观测分布或可靠性差异；不作因果归因,生成覆盖或表示；未进行模型干预,体素去重；当前无异常时比值不可定义
F02,体素,三态体素混合,纯异常=111337/111809=99.577852%; 与正常混合=472/111809=0.422148%; 与忽略混合=0/111809=0.000000%; 同时与正常及忽略混合=0/111809=0.000000%,纯异常=17278/17288=99.942156%; 与正常混合=8/17288=0.046275%; 与忽略混合=2/17288=0.011569%; 同时与正常及忽略混合=0/17288=0.000000%,纯异常=218599/226752=96.404442%; 与正常混合=7876/226752=3.473398%; 与忽略混合=273/226752=0.120396%; 同时与正常及忽略混合=4/226752=0.001764%,全帧1796/1364/8659；完整窗1780/1356/8583；合成等权单位为世界，真实为序列，非独立道路配对,观测分布或可靠性差异；不作因果归因,生成覆盖或表示；未进行模型干预,构建网格前不得按标签/距离裁点
F03,体素,历史新增正常混合,否=52977/53085=99.796553%; 是=108/53085=0.203447%,否=4445/4447=99.955026%; 是=2/4447=0.044974%,否=73779/75412=97.834562%; 是=1633/75412=2.165438%,全帧1796/1364/8659；完整窗1780/1356/8583；合成等权单位为世界，真实为序列，非独立道路配对,观测分布或可靠性差异；不作因果归因,生成覆盖或表示；未进行模型干预,描述成员，不等于证明历史造成漏检
F04,体素,扫描命中与异常支持,当前异常体素观测53085；扫描命中类别16；完整32格见分类表,当前异常体素观测4447；扫描命中类别16；完整32格见分类表,当前异常体素观测75412；扫描命中类别16；完整32格见分类表,全帧1796/1364/8659；完整窗1780/1356/8583；合成等权单位为世界，真实为序列，非独立道路配对,观测分布或可靠性差异；不作因果归因,生成覆盖或表示；未进行模型干预,未命中≠可确认空闲；异常支持非精确对应
F05,体素,均值偏移与点内残差,联合均值相对当前成员均值的位移(当前异常占据体素): P5/P25/P50/P75/P95=5e-05/0.00245/0.00805/0.01465/0.02445；有效53085/53085，863帧，4世界或序列,联合均值相对当前成员均值的位移(当前异常占据体素): P5/P25/P50/P75/P95=5e-05/5e-05/5e-05/0.00945/0.02235；有效4447/4447，485帧，2世界或序列,联合均值相对当前成员均值的位移(当前异常占据体素): P5/P25/P50/P75/P95=5e-05/5e-05/0.00675/0.01465/0.02415；有效75412/75412，3541帧，19世界或序列,全帧1796/1364/8659；完整窗1780/1356/8583；合成等权单位为世界，真实为序列，非独立道路配对,观测分布或可靠性差异；不作因果归因,生成覆盖或表示；未进行模型干预,同一物理格子比较，不重新选择网格原点
G01,联合条件,关键联合分布,点数×距离×历史覆盖46/110格；窗口1780,点数×距离×历史覆盖37/110格；窗口1356,点数×距离×历史覆盖47/110格；窗口8583,全帧1796/1364/8659；完整窗1780/1356/8583；合成等权单位为世界，真实为序列，非独立道路配对,频率不匹配与完全缺覆盖分开,采样或世界生成；先看真实非空且训练为零的格,先用少量可解释交叉，不拟合全高维直方图
G02,不可观测,完整物理形状/材质/准确遮挡率,完整物理尺寸、真实材质、精确遮挡率、位姿真值误差及可靠时间未作横向估计；合成真值参数不混入,完整物理尺寸、真实材质、精确遮挡率、位姿真值误差及可靠时间未作横向估计；合成真值参数不混入,完整物理尺寸、真实材质、精确遮挡率、位姿真值误差及可靠时间未作横向估计；合成真值参数不混入,全帧1796/1364/8659；完整窗1780/1356/8583；合成等权单位为世界，真实为序列，非独立道路配对,不可观测或不可直接横向比较,不得以不可观测属性指导确定参数,不要求为了填表虚构这些数值
