id,category,title,year,venue,status,url,evidence_level,anchor,mechanism_zh,relation_zh,threat,read_date,fulltext_obtained,experiment_zh,limitation_zh,verification_note,current_reading_status,full_document_read,reading_scope,training_zh,scoring_zh,normal_only,synthetic,auxiliary_ood,normal_perception_zh,inference_cost_zh
R011,道路异常与直接竞争,Uncertainty Estimation and Out-of-Distribution Detection for LiDAR Scene Semantic Segmentation,2024,ECCV,已发表,https://arxiv.org/html/2410.08687,所获全文完整通读,正文§1–7全部；图1–6和表1,固定正常语义特征，逐类别单高斯；马氏距离卡方接受域判断未知；高斯/逆Wishart采样分类器区分不确定性。,“所有正常解释均不接受”早已在点云实现；本路线必须增加条件观测证据与可检验的改进。,极高：正常解释接受集合的总体逻辑并非首创。,2026-09-25,true,报告未知精确率0.9667/召回0.976/F1 0.9713；没有STU标准三项结果；ECE原始责任度3.11高于温标softmax2.33。,高斯拟合假设和单分量覆盖不足；其早期未知/空像素处理不能直接与后续论文数字横比；卡方有限样本与非高斯适用性需验证。,本轮实际分块阅读原始全文后记录；全文统计覆盖所获文档全部学术内容及随文附录，独立补充的额外阅读见reading_scope；文献结果与基于机制的研究判断分别说明。,所获全文完整通读,true,正文§1–7全部；图1–6和表1,SalsaNext100轮，SemanticKITTI正常训练；后拟合全训练集32维GMM。,无类别通过0.975卡方范围则拒识；类别由GMM给出；投票熵衡量模型变异。,是：正常分类后拟合分布,否,否,后验GMM用于语义概率及不确定性；未报告足以证明同骨干语义无损的统一mIoU对照。,骨干特征固定，采样GMM参数；正文未核定每帧总延迟。
R012,道路异常与直接竞争,Lidar Panoptic Segmentation in an Open World,2025,International Journal of Computer Vision 133:1153–1174,2024年在线发表；2025年卷期,https://arxiv.org/html/2409.14273,原文核心章节：方法与实验,4 OWL 方法；5.1 跨数据集设置；5.5 及讨论,OWL 用已知类加未知通道预测语义，对 thing 与未知点建立分层密度聚类树，再根据学习到的对象性分数选择实例切分，兼顾开放类别语义和全景实例分割。,跨数据集未知对象检验已有 3D 前例；当前可以聚焦跨传感器点级二元输出，但不得把跨数据集本身当首次。,中：任务范围与协议新颖性的前例。,2026-09-24,true,SemanticKITTI 训练后在 KITTI-360 扩展词汇上评估，区域避免重叠；论文明确两个数据集使用同型号 HDL-64，未纳入传感器域变化。,相邻杆件和标志等可被并入一个实例；未知通道可能利用训练中稀有类，不能理解成完全没有异常暴露。,本轮取得原始全文并实际阅读所列核心章节；不是逐行阅读全部附录，也未重跑论文实验。未标注为作者承认的限制属于基于方法或适用范围的审稿推断。,本轮已取得全文但未通读,false,历史阅读范围见原anchor与read_date；本轮未重新通读,,,,,,,
R013,道路异常与直接竞争,RbA: Segmenting Unknown Regions Rejected by All,2023,ICCV,已发表,https://arxiv.org/html/2211.14293,所获全文完整通读,正文§1–5全文、表1–6；附录Overview及A–E全部（实现、全部消融、定性与失败图注）,掩码分类近似一对其余类别判断，对逐类正常支持取tanh后求和并取负；异常定义为所有已知类别均拒绝。,与研究问题中缺乏所有正常解释直接重合；不能靠改写语言主张创新。 支持保留丰富正常识别特征，再引入物理观测证据验证类别，避免靠削弱正常特征制造未知分离。,很高：所有正常类别拒绝的核心叙事已被明确提出。,2026-09-25,true,无异常训练SMIYC异常AP86.13/FPR15.94，障碍87.85/3.33；有异常版本90.90/11.60和91.80/0.50。正常mIoU约82.25到82.20。,类别独立互斥仅近似，分数不是严格概率；不同论文复现骨干和单层解码调整未必一致。 附录E失败含玩具车当正常汽车、远动物当人，作者提出尺度/深度可弥补外观语义歧义。,本轮实际分块阅读原始全文后记录；全文统计覆盖所获文档全部学术内容及随文附录，独立补充的额外阅读见reading_scope；文献结果与基于机制的研究判断分别说明。,所获全文完整通读,true,正文§1–5全文、表1–6；附录Overview及A–E全部（实现、全部消融、定性与失败图注）,Mask2Former仅1个解码层；正常分割训练后可仅调0.21%参数，300张COCO图像训练2000次，平方间隔损失。,负的逐类tanh支持之和。,提供正常单独训练版本；最优版本另用异常,最优版本COCO切贴,COCO,同Mask2Former正常mIoU82.25→82.20；该比较是带异常训练版本，不能迁移为正常单独结果。 附录B显示增加解码层提高正常mIoU却降低异常AP/FPR；COCO混入概率0.05/0.1/0.4时mIoU82.28/82.15/81.27，未知指标也非单调。,少量末层训练，1层解码相较常规9层；不能只把分数函数成本当整个系统。
R014,道路异常与直接竞争,Unmasking Anomalies in Road-Scene Segmentation,2023,ICCV,已发表；Mask2Anomaly系列只计一次,https://arxiv.org/html/2307.13316,原文核心章节：方法与实验,3.2–3.4；4 数据及消融,Mask2Anomaly 在掩码注意力中同时使用前景和背景，配合异常暴露对比损失；推理用预测掩码对异常区域进行筛选，保留道路并抑制一些高置信正常 stuff 区域。,本课题不能用道路中央作为异常捷径，同流程正常物体对照是必要识别设计；这一对照是公平性证据而非自动产生新模型贡献。,中高：场景结构先验提升误报率已有前例。,2026-09-24,true,Cityscapes 配 COCO 复制粘贴训练，在 Road Anomaly、Fishyscapes、SMIYC 检验；读取了掩码精炼对 FPR 的影响。,道路与 stuff 筛选引入明确场景先验，因此离路未知对象和正常场景变化的处理边界不同于全点语义未知任务。,本轮取得原始全文并实际阅读所列核心章节；不是逐行阅读全部附录，也未重跑论文实验。未标注为作者承认的限制属于基于方法或适用范围的审稿推断。,本轮已取得全文但未通读,false,历史阅读范围见原anchor与read_date；本轮未重新通读,,,,,,,
R015,道路异常与直接竞争,Pixel-wise Energy-biased Abstention Learning for Anomaly Segmentation on Complex Urban Driving Scenes,2022,ECCV,已发表,https://arxiv.org/html/2111.12264,所获全文完整通读,正文§1–5及补充A–E全读,PEBAL正常能量估计每点弃权代价，联合额外拒绝类训练、能量间隔及平滑稀疏约束。,所有类支持不够则拒绝已有；局部适应损失可改善未知但正常无损需实际检验。,高：联合正常/异常与训练效率目标已有，当前差别在不依赖反例。,2026-09-25,true,FS LaF测试AP44.17/FPR7.58；Static92.38/1.73；WRN RoadAnomaly45.10/44.58。,正文承认正常mIoU降0.2–0.7点；道路范围/语义全景不同会改变标准化分数效果；阈值未解决部署拒绝。,本轮实际分块阅读原始全文后记录；全文统计覆盖所获文档全部学术内容及随文附录，独立补充的额外阅读见reading_scope；文献结果与基于机制的研究判断分别说明。,所获全文完整通读,true,正文§1–5及补充A–E全读,只微调最后分类块约1.3M参数20轮；避免全模型异常微调损害正常。,正常19类负logsumexp能量，推理高斯平滑。,否,AnomalyMix COCO切贴,297张COCO图；异常验证选模型,保留语义输出，微调mIoU损失0.2–0.7；部分原骨干90.3来自不同Cityscapes划分，不能与标准81.8直接比较。,RTX3090约0.55秒/图，每轮12分钟；比额外重建快，仍未达常见传感器帧率。
R016,道路异常与直接竞争,DenseHybrid: Hybrid Anomaly Detection for Dense Open-set Recognition,2022,ECCV,已发表,https://arxiv.org/html/2207.02606,所获全文完整通读,正文§1–6和补充§7全读,DenseHybrid共享语义特征同时估计正常logsumexp支持与二值域判别，两个互补分数构成异常对数比。,本文提出开放mIoU，直接检验未知拒绝损伤正常分类这一真实缺口。,高：端到端正常语义＋低成本异常支持融合已存在。,2026-09-25,true,SMIYC异常AP78.0/FPR9.8、障碍87.1/0.2；StreetHazards AP30.2/AUROC95.6/FPR13.0。,正常分类闭集分数不能代表加入拒绝后可靠性；统计logits解释不是充分校准保证；训练需负样本。,本轮实际分块阅读原始全文后记录；全文统计覆盖所获文档全部学术内容及随文附录，独立补充的额外阅读见reading_scope；文献结果与基于机制的研究判断分别说明。,所获全文完整通读,true,正文§1–6和补充§7全读,正常CE加异常能量/二分类监督，目标骨干端到端微调；Cityscapes约10轮。,log异常后验-logsumexp正常logits。,否,ADE20K物体贴入正常图,ADE20K,StreetHazards普通语义mIoU65.0，DenseHybrid63.0，加入异常拒绝后45.8；显示闭集看似仅2点退化掩盖开放场景大幅损失。,RTX3090 2MP图60.9→63.7ms，新增2.8ms/0.1GFLOPs。
R017,道路异常与直接竞争,Residual Pattern Learning for Pixel-wise Out-of-Distribution Detection in Semantic Segmentation,2023,ICCV,已发表,https://arxiv.org/html/2211.14512,原文核心章节：方法与实验,3.1–3.3；4 设置及消融,RPL 在固定闭集分割器上学习残差特征，通过正常蒸馏保持语义预测，用能量分离辅助异常；CoroCL 把纯外部异常与混入正常场景的同类信号共同用于对比学习以降低上下文依赖。,不能把正常保持、上下文变化或双分支融合单独当新贡献；需要证明几何参照对稀疏点的特有作用。,中高：保持正常判别与异常暴露协同的前例。,2026-09-24,true,Cityscapes 加 COCO 训练固定模型后评估多道路异常基准，读取残差模块、蒸馏、上下文对比的消融。,残差和对比表示仍受已见辅助异常及原骨干能力影响；上下文鲁棒性是实验支持，不是对任意变化的数学保证。,本轮取得原始全文并实际阅读所列核心章节；不是逐行阅读全部附录，也未重跑论文实验。未标注为作者承认的限制属于基于方法或适用范围的审稿推断。,本轮已取得全文但未通读,false,历史阅读范围见原anchor与read_date；本轮未重新通读,,,,,,,
R018,道路异常与直接竞争,PixOOD: Pixel-Level Out-of-Distribution Detection,2024,ECCV,已发表,https://www.ecva.net/papers/eccv_2024/papers_ECCV/papers/07720.pdf,所获全文完整通读,PDF正文§1–5完整、表1–5；另取得并通读官方4页补充A–C，含全部表与图注；补查arXiv v3表1–3修正数字（未重复计篇数）,冻结DINOv2正常特征；每类多参考点凝聚分布，语义分数与最近距离组成二维表示，再作正常分布与假定宽高斯异常分布的似然比检验。,直接覆盖多种正常解释及正常数据校准；单原型范围过窄是本路线应核查的机制问题。,很高：正常类别支持＋距离＋正常校准的组合已有完整方法。,2026-09-25,true,原ECCV版本RoadAnomaly95.42/5.11、FS92.31/0.80；作者2024-10-24修复输入归一化后arXiv v3表2更新为96.39/4.30、93.55/0.54。v3表1单均值平均AP88.14、多中心94.80。SMIYC表3保持障碍88.90/0.30、语义异常68.88/54.33。,把正常外观域移也识别为异常；无法识别部分逻辑异常；凝聚训练K1000约17小时；EM替代责任权重后无单调收敛保证。,本轮实际分块阅读原始全文后记录；全文统计覆盖所获文档全部学术内容及随文附录，独立补充的额外阅读见reading_scope；文献结果与基于机制的研究判断分别说明。,所获全文完整通读,true,PDF正文§1–5完整、表1–5；另取得并通读官方4页补充A–C，含全部表与图注；补查arXiv v3表1–3修正数字（未重复计篇数）,正常数据训练MLP与软硬退火的参考点凝聚；每类预算1000，低支持中心重新初始化，正常数据校准。,逐类似然比转正常拒绝分位数，结合所有类别支持；不使用实际异常训练样本。,道路与工业任务是；海事数据自带障碍类,无,无,包含MLP正常语义预测；海事mIoU97.5，但这是三类监督不同任务；道路部分缺少同骨干标准正常mIoU无损对照。,冻结DINOv2和最多1000中心/类距离计算；凝聚训练17小时不等于推理延迟。
R019,道路异常与直接竞争,Maskomaly: Zero-Shot Mask Anomaly Segmentation,2023,BMVC,已发表,https://arxiv.org/html/2305.16972,所获全文完整通读,正文§1–6全文，全部方法/实验/消融；无单独附录,固定Mask2Former中正常掩码的拒绝分数与自发异常查询的接受分数相结合，并抑制正常掩码重叠边缘。,说明普通正常分割网络能自然形成异常掩码，也提醒明确训练与模型选择的监督边界。,高：正常感知中提取异常支持而无需额外训练已有。,2026-09-25,true,SMIYC异常AP93.4/FPR6.9；默认RoadAnomaly70.9/11.9；在道路数据调参版本80.8/12.0须分开。,正常训练不等于正常单独开发；异常掩码筛选依赖异常验证标签；GPU0.48ms排除了完整边界处理，不能当整体延迟。,本轮实际分块阅读原始全文后记录；全文统计覆盖所获文档全部学术内容及随文附录，独立补充的额外阅读见reading_scope；文献结果与基于机制的研究判断分别说明。,所获全文完整通读,true,正文§1–6全文，全部方法/实验/消融；无单独附录,无需额外梯度训练；根据异常验证IoU筛选查询；设置混合权重0.6/0.4和阈值。,正常掩码补集最小支持与选中异常掩码最大支持加权。,梯度训练仅正常；使用异常验证集开发,无新增合成,SMIYC异常验证标签用于查询筛选和阈值选择,固定正常Mask2Former，原始语义分支未重训；拒绝之后的正常分类损失未独立证实。,CPU后处理约182ms；GPU0.48ms排除了完整边缘处理，不能当完整系统时延。
R020,道路异常与直接竞争,Random Walk on Pixel Manifolds for Anomaly Segmentation of Complex Driving Scenes,2024,ECCV,已发表,https://arxiv.org/html/2404.17961,原文核心章节：方法与实验,3.2–3.4；4 设置；4.3 定性结果,RWPM 在像素特征之间建立余弦亲和图，使用带重启的随机游走聚合异常相关表示；为降低计算成本分区并截断迭代，作为现有异常模型的推理增强。,空间聚合提升不能自动证明三维正常场有效；需要与同预算邻域特征平滑区分。,中：局部结构信息用于改善点级排序的泛化前例。,2026-09-24,true,读取 PEBAL、RbA、Mask2Anomaly 等固定模型在 Fishyscapes、Road Anomaly、SMIYC 上的结果，温度、重启和迭代设定。,完整图成本随像素数平方增长；分区是近似，边界正常点仍可能被邻接异常拉近。,本轮取得原始全文并实际阅读所列核心章节；不是逐行阅读全部附录，也未重跑论文实验。未标注为作者承认的限制属于基于方法或适用范围的审稿推断。,本轮已取得全文但未通读,false,历史阅读范围见原anchor与read_date；本轮未重新通读,,,,,,,
