编号,要素组,因素,操作定义,统计单位与范围,应输出统计,全量结果,完成状态,用途与限制,来源
C04,强度,异常/邻近背景强度对比,同一预定邻域中异常与正常强度差及局部方差,异常点/实例×帧,条件分位数、无邻居比例,0.5米正常邻域强度反差、标准差和方差；少于3个邻居时不估计；方差由完整精确标准差取值逐值平方后汇总,已统计；不足支持者留空,邻域及距离条件固定后计算,summary.json；C04
D01,背景,正常语义构成,全部输入及异常邻域中的正常类别比例,点/帧/序列,全局与各序列频率；邻域另表,正常全局语义、全部输入语义、每帧去重邻域正常语义分别统计,全量统计完成,标签用于统计，不进入推理特征,summary.json；D01
D02,背景,异常与地面/周边结构关系,相对可靠地面高度、最近正常点距离、背景密度,实例×帧,分位数、估计失败率,"全部异常点最近正常点距离和密度；2,202/4,729实例×帧通过局部地面代理规则",已统计；不足支持者留空,无可靠地面时不可将z冒充离地高度,summary.json；D02
E01,时序,五帧异常支持量,"源帧异常计数向量[a0,a1,a2,a3,a4]；历史与当前分开",t≥4完整窗口,计数、历史占比、按可见状态分组,"8,583条完整点数向量及76条启动向量；历史数、历史比例、历史可见扫描数已保存",全量统计完成,全距离/源帧各自评价距离两个口径分开,summary.json；E01
E02,时序,五位可见模式,bi=1当第i帧有异常回波；包含00000,t≥4完整窗口,32种模式的计数与比例；每序列另报,"32种模式全部有覆盖；00000为4,355窗，11111为2,856窗，00001为97窗",全量统计完成,不是体素命中；类别可见不代表同一物体,summary.json；E02
E03,时序,接近/可见/消失阶段,无回波前缀、可见段、中断段、尾段,连续帧/完整序列,段数与长度；首末可见；边界截断标志,18个前缀、304个可见段、285个中断段、12个尾段；所有首末截断标记已保存,全量统计完成,不能在异常事件处重新启动窗口；优先帧单位,summary.json；E03
E04,时序,自车运动与视角基线,从已有位姿计算五帧相对平移/旋转,t≥4完整窗口,分位数、位移×点数/距离,五帧平移中位数1.980米；旋转以弧度报告，不推算速度,全量统计完成,无可靠时间戳不报告实测速度,summary.json；E04
E05,时序,静态表面一致性,固定匹配规则下背景表面重合残差,窗口/可靠静态邻域,残差分位数、匹配覆盖,"固定抽样17,266,655当前静态点；16,733,267个在0.2米内同语义匹配；属于抽样代理",已统计；抽样代理,不是位姿真值误差，动态/遮挡可混杂,summary.json；E05
F01,体素,异常压缩与独立几何量,0.05m网格异常占据数；当前与五帧分别统计,体素/窗口,点体素比、联合/当前异常体素数,完整输入0.05米网格；当前/联合异常体素及压缩比均已统计，零异常比值留空,全量统计完成,体素去重；当前无异常时比值不可定义,summary.json；F01
F02,体素,三态体素混合,各体素统计正常/异常/忽略成员数及比例,体素；当前异常点另加权,纯异常、正常混合、忽略混合、双混合,"226,752个联合异常占据体素；纯异常96.404%；当前异常点加权另列",全量统计完成,构建网格前不得按标签/距离裁点,summary.json；F02
F03,体素,历史新增正常混合,当前体素无正常成员但历史带入正常成员,当前异常点及其体素,计数、比例、扫描来源,"历史新增正常混合1,633/75,412个当前异常体素；扫描来源分别保存，可同时命中多帧",全量统计完成,描述成员，不等于证明历史造成漏检,summary.json；F03
F04,体素,扫描命中与异常支持,体素五位命中模式；历史异常来自几帧,非空体素；当前异常体素,32种模式；命中次数1–5,全部非空体素及当前异常体素的32类扫描命中、历史异常扫描数均保留,全量统计完成,未命中≠可确认空闲；异常支持非精确对应,summary.json；F04
F05,体素,均值偏移与点内残差,联合均值相对当前成员均值；点相对联合均值偏移,体素/当前点,位移与残差分位数,全部当前成员均统计；空间分位数区间宽度至多0.1毫米，强度偏移区间宽度至多0.0001,全量统计完成,同一物理格子比较，不重新选择网格原点,summary.json；F05
G01,联合条件,关键联合分布,点数×距离×历史支持；混合×背景；强度×距离,窗口/点/实例分别定义,联合频数、支持数、缺覆盖格子,点数×距离×历史、混合×背景、混合×点数距离、运动×点数距离、阶段×点数及强度×距离均保存,全量统计完成,先用少量可解释交叉，不拟合全高维直方图,summary.json；G01
G02,不可观测,完整物理形状/材质/准确遮挡率,发布数据无真值时明确标记,物体/场景,只记录可用真值或带不确定性的代理量,完整物理尺寸、真实材质、精确遮挡率、位姿真值误差、可靠时间戳未提供；不得补猜,不可直接观测，边界已记录,不要求为了填表虚构这些数值,summary.json；G02
